район,площадь m^2,кол-во комнат,удаленность от центра (км),этаж,цена
9,133.8,6,18.43,22,12650000
8,137.5,6,4.66,9,21030000
6,67.2,2,1.4,22,11530000
5,72.3,3,21.53,5,7760000
5,63.2,2,20.7,18,6830000
8,110.0,5,15.92,4,11060000
9,34.1,1,1.69,15,4140000
9,142.7,6,3.09,22,18590000
4,105.9,4,10.2,16,18130000
6,74.2,3,13.52,17,10110000
2,93.3,4,5.34,4,20900000
3,120.1,5,5.53,11,27730000
7,47.5,1,8.09,14,6080000
8,92.5,5,16.49,7,9920000
9,155.9,6,4.2,15,20980000
7,53.3,1,18.52,25,4530000
9,41.0,1,10.7,2,3800000
1,129.4,5,16.93,21,24830000
7,45.5,2,7.65,18,6040000
5,83.5,3,20.76,5,9000000
5,57.8,2,21.46,5,5970000
4,65.2,3,13.99,5,9420000
9,39.6,2,7.46,24,3870000
2,108.9,5,20.81,16,17690000
4,87.9,4,13.14,22,14500000
5,65.6,3,3.92,1,9910000
10,123.2,5,12.44,3,10650000
5,61.1,2,13.84,23,7670000
1,103.4,5,20.28,16,17860000
7,17.0,1,11.25,12,2060000
6,45.0,1,9.2,3,5760000
9,69.7,2,17.94,12,5530000
2,67.5,3,15.44,3,10590000
5,75.4,3,24.71,9,9120000
10,110.9,6,11.15,14,11660000
6,87.8,4,24.82,18,9810000
9,75.3,2,22.66,23,5090000
4,89.3,4,1.99,12,18600000
8,96.9,5,14.11,23,10350000
3,95.3,4,13.53,22,16190000
4,121.1,5,21.4,21,15910000
3,114.6,5,23.74,2,16050000
3,53.4,3,11.25,3,9470000
2,49.3,1,14.5,7,8160000
4,123.1,6,3.48,3,26560000
5,101.6,4,14.11,21,15200000
2,128.0,6,10.42,6,27380000
5,52.1,2,7.16,17,8300000
10,131.9,6,1.3,21,15680000
9,50.5,2,5.3,20,5380000
9,50.0,1,4.96,2,5230000
10,85.6,4,18.63,24,5890000
2,153.4,6,10.72,15,33790000
10,129.3,5,1.91,11,15340000
2,88.8,4,9.34,21,18610000
7,123.2,6,18.69,5,13720000
5,95.9,4,17.57,14,13350000
3,136.7,6,24.0,5,19900000
7,122.3,5,0.7,20,21040000
3,103.9,3,6.19,13,21400000
7,72.0,3,7.96,22,9970000
2,60.4,3,8.44,3,11400000
10,101.8,5,0.8,22,12460000
3,71.0,3,13.74,15,11570000
7,54.6,2,9.36,22,6650000
2,85.2,3,4.2,6,18950000
6,116.4,5,1.26,13,23480000
8,67.9,3,16.05,14,6820000
10,65.6,3,17.8,18,5000000
7,150.1,6,0.93,14,27300000
3,113.8,4,14.03,13,19340000
3,82.5,3,16.05,6,13030000
10,128.2,5,20.38,5,9330000
4,49.9,1,1.44,6,10160000
3,110.2,5,22.47,15,15860000
9,96.0,5,8.52,11,11160000
7,35.0,1,14.94,10,3960000
10,58.8,2,11.03,14,5080000
4,50.3,2,9.25,21,8120000
10,87.0,3,5.38,6,9400000
4,85.3,3,23.37,21,10920000
9,19.9,1,21.52,25,1350000
10,124.3,6,8.87,10,13850000
10,129.8,6,23.16,16,9670000
2,64.0,2,0.6,12,14710000
9,109.7,4,18.43,8,10000000
7,61.8,2,24.16,25,5520000
2,117.5,5,20.9,17,18340000
2,30.7,1,23.56,11,4180000
2,51.2,2,18.37,23,7400000
5,54.7,3,7.55,4,8540000
2,100.2,4,12.94,13,18840000
9,60.8,3,13.8,8,5930000
4,111.2,6,23.4,17,15650000
2,64.2,2,17.46,10,10350000
5,107.4,5,4.8,22,19440000
5,87.7,4,7.2,1,13060000
5,15.0,1,17.73,13,1760000
2,84.4,3,11.09,2,15160000
2,78.7,3,2.66,14,17810000
8,74.8,3,20.96,19,6800000
2,68.5,3,10.85,4,12910000
8,83.2,3,1.07,23,11520000
4,106.5,4,15.18,11,17050000
8,91.7,4,5.07,5,12270000
3,35.9,1,6.5,19,6670000
8,114.9,4,1.91,15,16440000
6,40.2,1,6.67,9,5820000
1,77.3,2,11.43,2,13830000
1,72.6,4,2.54,8,19320000
10,134.8,6,19.69,7,11130000
10,134.2,5,19.66,4,9450000
1,65.5,2,10.59,1,10970000
7,102.1,4,9.71,9,13970000
5,124.1,6,9.77,12,22740000
10,114.0,5,12.95,2,10050000
6,57.7,2,24.59,12,6250000
3,142.2,6,1.72,24,31730000
10,94.9,3,19.42,14,7110000
3,131.2,5,8.92,21,26060000
10,83.0,4,21.3,12,5870000
2,86.4,3,20.08,10,13250000
10,88.9,4,6.64,6,9390000
8,108.3,5,2.46,19,15590000
3,54.8,3,17.58,1,7200000
10,102.1,4,20.79,10,7410000
3,42.3,1,14.64,2,5870000
2,99.3,5,4.35,16,22660000
9,141.2,6,20.65,18,12610000
8,58.4,2,24.44,11,4820000
5,104.3,4,14.84,21,14720000
8,114.9,6,20.13,11,11650000
1,129.0,5,13.3,2,24890000
6,114.7,5,5.58,22,19370000
3,86.4,4,20.09,20,12610000
3,66.3,3,4.49,18,13870000
8,107.0,5,5.82,19,15600000
7,79.2,3,21.64,15,7730000
7,105.9,4,8.72,8,14820000
6,38.1,2,8.71,2,5100000
5,93.7,4,10.78,17,14720000
4,84.4,4,4.65,11,17260000
3,92.6,4,7.87,21,18040000
3,62.4,2,17.69,24,8020000
5,95.6,4,0.64,15,19490000
1,109.7,5,23.8,2,17680000
1,134.5,6,1.12,19,38500000
10,104.4,4,13.23,10,9260000
5,34.8,1,13.43,9,4640000
2,158.4,6,21.99,16,26200000
2,101.3,4,6.18,17,22030000
1,32.2,2,5.94,13,7020000
1,22.4,1,14.66,4,3810000
2,50.8,1,1.8,19,10520000
1,161.1,6,17.88,13,31980000
10,109.5,5,11.33,2,9790000
9,41.5,1,1.55,14,4910000
5,33.3,1,2.7,8,5970000
4,108.2,6,2.76,12,25500000
7,94.2,4,17.78,1,9440000
9,45.9,2,0.58,4,5710000
1,76.5,3,22.2,10,11810000
2,101.8,4,24.9,8,15900000
2,61.5,2,11.37,18,11170000
5,110.1,5,5.93,16,19500000
10,35.4,1,8.21,11,3300000
5,23.0,1,1.78,24,3720000
7,47.2,1,21.95,15,4150000
3,76.0,3,24.38,23,9540000
5,129.9,5,24.3,2,15310000
5,71.1,3,21.18,21,8650000
10,56.0,2,2.94,22,5890000
1,133.0,6,14.45,7,28840000
4,39.1,1,1.99,22,7470000
10,38.0,2,19.64,24,2260000
5,66.7,3,7.63,3,10070000
6,104.5,4,23.4,4,11690000
10,125.5,6,18.02,25,9830000
8,61.5,2,24.28,3,5110000
9,137.8,6,14.89,24,13700000
5,25.9,1,18.26,17,3090000
9,65.4,4,16.59,19,6160000
3,149.3,6,23.44,9,22700000
7,139.4,6,22.54,22,14520000
8,76.3,3,1.53,2,10690000
4,119.2,5,24.14,25,15630000
7,128.2,5,22.97,3,12710000
3,33.9,1,21.52,6,4380000
7,61.8,2,10.1,25,7300000
6,75.7,3,8.06,4,10380000
10,16.1,1,6.06,6,1580000
8,110.3,4,16.43,16,10960000
1,48.7,2,7.19,12,11140000
3,52.2,1,13.35,12,8180000
8,28.5,1,8.31,4,3050000
3,85.2,4,20.55,7,12750000
5,42.3,3,10.81,20,6370000
6,49.1,3,13.73,23,5880000
10,128.2,5,10.33,5,12210000
2,105.5,4,3.6,24,23000000
1,125.1,5,9.09,8,29630000
7,59.6,3,14.03,4,6910000
4,62.7,3,1.85,15,12560000
9,140.3,6,24.62,14,12610000
1,123.1,5,21.47,9,21130000
3,108.9,5,16.02,2,16660000
8,133.3,5,23.37,25,12110000
5,59.1,2,15.66,6,7680000
5,37.8,1,14.64,4,4830000
10,116.7,5,8.44,19,12240000
10,119.0,5,17.5,8,9750000
8,131.0,6,18.8,2,13050000
10,50.1,2,7.94,15,4820000
8,54.9,2,15.76,14,5460000
6,62.5,3,5.87,13,10380000
7,64.0,3,4.23,4,9580000
1,67.2,2,17.25,19,10750000
4,96.6,4,18.84,24,12140000
5,115.6,5,0.7,11,24340000
5,71.9,2,24.67,20,8000000
9,151.3,6,8.79,4,17920000
6,41.0,1,3.29,12,6450000
8,50.9,2,24.16,19,4390000
1,134.6,6,6.65,8,33850000
10,51.3,1,3.2,2,4860000
3,50.7,2,8.0,15,9610000
5,65.6,3,19.21,12,8260000
7,73.0,4,7.34,13,11310000
4,119.6,5,8.24,16,23080000
1,67.8,3,21.75,4,10480000
8,107.3,4,10.89,20,12250000
2,128.3,5,22.11,12,20330000
3,32.6,1,13.38,6,5150000
2,139.4,5,21.95,12,22330000
1,93.9,4,0.71,3,23710000
6,53.2,2,13.13,21,6520000
2,74.8,4,22.27,20,11850000
10,84.4,3,20.16,16,5630000
1,95.2,5,23.43,1,14630000
3,89.3,4,12.64,12,16890000
4,126.9,5,3.55,15,28910000
1,142.8,6,19.25,2,24180000
6,81.1,4,11.81,2,11030000
7,91.4,4,10.04,22,12720000
2,105.9,5,15.26,10,19880000
9,87.1,4,9.26,24,8910000
8,75.9,4,0.64,18,11020000
10,60.2,2,5.93,19,6060000
9,69.8,3,13.32,7,6980000
9,91.1,3,14.04,24,8180000
2,31.6,1,6.04,16,5920000
10,88.4,3,14.25,21,7520000
3,84.5,4,16.07,7,14270000
7,129.4,6,22.39,16,14070000
8,55.9,1,8.46,18,6240000
4,70.1,2,19.62,5,8330000
8,78.4,4,18.71,25,7090000
1,139.4,6,12.14,12,30070000
9,132.6,5,17.45,14,12260000
3,135.8,6,21.47,3,20670000
8,141.4,6,4.78,25,19030000
9,29.7,1,5.6,12,3380000
10,59.2,2,14.6,12,4880000
2,127.8,4,10.42,14,26830000
1,91.1,4,12.47,19,18360000
8,93.5,4,9.32,10,11390000
3,135.9,6,24.46,5,20240000
5,123.0,6,4.97,12,24210000
10,134.2,6,6.41,13,15190000
7,20.6,1,17.53,7,2080000
9,105.4,5,16.33,10,10410000
1,130.8,5,17.52,19,24610000
1,78.1,4,20.52,13,12570000
7,42.2,2,12.54,4,4830000
5,37.2,2,8.27,22,5700000
10,30.1,1,9.47,1,2340000
10,104.1,5,2.26,21,11800000
1,143.7,6,3.2,19,38630000
1,122.6,5,10.68,1,24710000
6,132.9,6,11.18,4,19110000
8,106.8,5,19.67,17,10120000
10,93.0,5,5.53,23,9150000
4,64.0,2,14.68,25,8470000
7,132.3,5,1.64,23,20340000
5,28.8,1,3.82,7,5150000
9,94.6,4,3.57,17,11740000
5,83.8,4,13.94,2,11310000
2,102.5,3,12.79,2,18250000
2,124.0,5,6.07,16,27810000
3,77.4,3,23.33,7,10860000
6,40.8,2,6.05,16,6380000
1,100.9,4,16.1,19,17650000
3,67.6,2,15.06,13,11120000
6,68.9,3,16.78,25,7390000
4,143.6,6,4.35,25,28620000
5,40.5,1,6.39,13,6280000
3,62.4,3,14.71,10,10290000
6,37.9,1,24.56,3,3530000
10,42.9,2,3.34,20,4390000
7,116.9,4,2.48,2,17350000
2,53.8,2,6.27,22,10470000
3,88.5,3,20.17,8,12420000
4,44.6,2,4.24,10,8220000
10,125.4,5,18.58,11,10330000
2,33.8,1,1.42,15,7720000
8,70.8,4,14.35,24,7370000
6,137.9,5,22.39,17,16540000
4,113.6,5,14.27,16,19200000
2,115.6,5,0.96,11,29400000
4,115.8,5,5.29,7,24320000
1,95.4,5,21.01,4,15590000
2,120.2,6,2.12,3,29860000
10,115.0,5,2.35,3,13320000
5,42.1,1,4.65,24,6530000
5,49.0,3,14.66,19,6780000
1,96.1,5,23.83,6,17210000
10,27.2,1,3.74,3,2410000
4,102.6,5,8.87,2,18970000
9,132.0,6,22.68,11,12090000
7,76.6,3,17.36,13,8150000
10,77.4,3,23.54,14,5400000
5,136.4,6,15.45,9,21800000
4,135.0,5,24.38,4,17570000
4,74.2,3,22.09,9,9930000
8,114.0,5,20.07,18,10330000
4,131.5,6,21.11,7,19450000
3,41.2,2,24.16,19,5610000
9,134.0,5,3.05,7,18640000
9,132.4,6,9.61,4,14710000
4,127.4,5,5.17,25,24150000
3,37.1,1,13.14,20,5680000
2,67.7,1,22.18,18,9230000
6,142.9,5,4.41,1,22260000
3,87.0,3,15.29,2,13040000
2,108.7,4,4.92,11,26490000
3,23.1,1,20.02,4,2780000
10,38.2,1,6.95,9,3390000
8,118.8,5,19.01,10,11380000
8,61.0,2,4.57,21,7570000
7,25.9,1,10.0,18,3030000
3,41.7,2,2.3,13,8570000
3,132.1,6,19.37,5,19490000
5,85.4,2,4.56,22,15180000
1,81.7,3,10.53,16,17290000
8,127.2,6,14.03,17,14720000
4,135.2,5,17.12,4,18640000
2,34.8,2,12.44,14,6070000
1,41.2,1,1.61,25,9350000
8,81.1,3,13.16,13,9090000
1,80.0,3,20.72,15,12580000
4,144.5,6,16.46,2,21190000
3,87.3,4,9.5,16,17370000
8,74.8,3,22.79,14,6610000
4,79.7,3,4.65,25,13880000
4,70.3,3,18.87,17,9490000
8,100.0,5,21.47,5,9490000
8,91.6,4,5.93,25,11250000
6,47.9,2,10.46,21,6250000
8,37.6,1,2.76,13,4930000
7,70.6,3,15.64,14,8110000
1,54.7,2,3.7,5,12220000
2,114.2,5,5.69,1,24210000
6,139.0,5,24.86,18,15640000
9,72.3,3,6.45,20,8210000
10,36.0,1,19.54,15,2330000
9,68.7,3,8.01,5,7330000
2,81.7,4,22.29,16,12510000
2,134.7,6,17.05,5,24260000
7,107.6,4,6.89,9,16660000
10,53.4,3,6.24,20,5340000
9,32.9,1,10.93,15,3170000
3,94.1,3,21.05,25,12490000
8,76.4,4,18.29,8,7870000
3,109.3,5,13.87,9,18920000
10,73.4,4,17.13,6,5620000
4,79.1,3,16.09,20,11170000
9,72.5,3,4.79,6,8940000
1,116.3,6,18.68,24,19600000
10,123.3,6,24.71,17,9420000
1,118.0,6,14.55,24,22250000
5,31.4,1,5.79,9,4900000
2,57.4,2,2.82,5,12320000
8,85.9,4,22.17,15,8290000
4,81.6,3,2.14,20,16350000
3,85.1,4,18.43,3,11810000
7,115.7,5,23.69,5,12200000
4,52.9,2,13.4,2,7880000
7,106.3,5,9.92,15,14600000
10,149.6,6,3.22,10,18500000
8,25.5,1,10.09,18,2870000
3,75.9,4,16.6,6,12740000
4,56.6,3,3.87,22,10630000
4,38.6,1,17.48,16,4810000
1,53.7,1,3.75,19,11970000
1,42.6,1,15.28,15,6970000
8,73.0,3,19.97,8,6840000
1,42.7,1,6.42,23,8270000
4,133.7,5,1.78,1,26680000
4,70.6,3,22.55,1,7980000
8,64.6,2,21.66,18,5530000
9,48.9,2,9.01,20,4980000
6,41.7,1,7.18,9,6240000
7,43.9,1,8.95,6,5390000
6,115.8,4,13.99,13,16570000
10,118.9,4,3.17,2,13230000
7,92.2,4,17.94,18,9510000
10,111.2,5,7.63,23,10400000
3,63.9,3,20.1,19,8750000
3,125.4,5,20.66,10,19580000
5,33.1,1,23.95,17,3650000
4,62.8,2,11.66,6,10170000
3,36.5,1,21.93,23,4250000
9,95.5,5,1.4,17,13580000
10,94.8,4,12.17,23,7640000
1,135.3,6,23.24,19,23530000
4,132.8,5,24.55,12,18980000
1,29.7,2,6.18,15,6440000
4,134.9,6,18.96,14,20450000
9,132.8,5,9.19,19,14790000
1,80.1,3,11.33,5,15990000
3,75.3,2,10.44,14,13880000
9,113.3,5,15.1,2,10180000
2,127.7,5,2.23,13,32980000
8,83.5,3,18.18,17,7680000
1,40.5,1,10.8,7,7790000
9,58.8,2,16.28,24,4750000
2,125.2,5,17.86,4,20860000
8,95.9,4,18.31,5,8620000
9,101.0,4,9.2,12,11330000
7,57.9,2,4.39,16,8570000
9,49.7,2,4.17,6,5790000
7,136.4,6,13.81,9,18710000
8,51.7,1,21.35,7,4320000
3,129.8,6,15.54,4,21820000
3,109.1,5,1.85,7,27360000
3,60.1,3,17.25,14,9440000
8,24.6,1,12.71,1,2080000
1,88.6,4,6.9,11,21890000
6,34.4,1,23.56,25,3060000
4,97.9,4,6.99,5,17900000
4,87.3,3,13.11,12,13540000
1,152.2,6,2.42,3,39270000
3,22.9,2,20.35,17,2970000
7,113.0,5,16.09,19,13100000
7,56.1,2,16.48,11,5820000
4,103.5,4,5.42,5,18780000
9,109.5,4,2.5,1,12470000
10,101.1,4,6.35,17,10070000
9,116.5,5,14.2,25,11190000
3,103.1,4,0.71,7,24050000
10,28.2,1,14.69,20,2170000
2,51.9,2,21.94,18,7440000
6,32.8,2,2.16,23,5160000
6,113.2,5,7.13,5,17570000
7,118.0,5,14.68,25,12980000
4,107.4,5,15.25,15,17510000
7,42.7,2,16.34,14,4820000
6,23.7,1,10.66,4,2910000
8,135.6,6,2.82,6,21540000
2,112.0,4,12.89,10,22500000
5,69.9,3,24.35,6,8210000
3,129.3,5,23.65,3,18080000
4,107.0,4,10.51,12,18160000
9,40.9,1,21.47,9,3050000
